,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,crdy,fls,fld,crs,int,tklw,team
8,2023-11-18,21:45,UEFA Euro Qualifying,Group stage,Sat,Home,L,1,2,ro Romania,,,65.0,2921.0,Eli Dasa,4-2-3-1,François Letexier,Match Report,,17.0,5.0,3.0,10.0,11.0,20.0,10.0,9.0,israel
9,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2,0,ad Andorra,,,84.0,568.0,Dor Peretz,4-3-3,Sascha Stegemann,Match Report,,16.0,8.0,1.0,3.0,7.0,18.0,5.0,3.0,israel
10,2024-03-21,21:45,UEFA Euro Qualifying,Semi-finals,Thu,Home,L,1,4,is Iceland,,,56.0,,Eli Dasa,4-3-3,Anthony Taylor,Match Report,,10.0,4.0,1.0,11.0,10.0,14.0,7.0,7.0,israel
11,2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Away,L,0,3,hu Hungary,,,,19900.0,Eli Dasa,5-3-2,Cláudio Pereira,Match Report,,,,1.0,,,,,,israel
12,2024-06-11,18:00,Friendlies (M),Friendlies (M),Tue,Neutral,W,4,0,by Belarus,,,,,Eli Dasa,4-1-4-1,Tamás Bognár,Match Report,,,,1.0,,,,,,israel
0,2023-03-25,18:00,UEFA Euro Qualifying,Group stage,Sat,Home,L,0,5,ch Switzerland,,,29.0,,Evgeni Yablonski,5-4-1,Alejandro Hernández,Match Report,,9.0,1.0,3.0,10.0,12.0,7.0,13.0,9.0,belarus
1,2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1,2,ro Romania,,,49.0,27837.0,Evgeni Yablonski,4-4-2,Allard Lindhout,Match Report,,10.0,4.0,3.0,12.0,12.0,16.0,7.0,11.0,belarus
2,2023-06-16,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,1,2,il Israel,,,34.0,,Syarhey Palitsevich,4-4-2,Jarred Gillett,Match Report,,7.0,1.0,3.0,7.0,9.0,11.0,7.0,10.0,belarus
3,2023-06-19,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2,1,xk Kosovo,,,41.0,,Evgeni Yablonski,4-1-4-1,Julian Weinberger,Match Report,,12.0,4.0,1.0,10.0,6.0,18.0,14.0,6.0,belarus
4,2023-09-09,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,0,0,ad Andorra,,,73.0,1026.0,Syarhey Palitsevich,3-4-3,Eldorjan Hamiti,Match Report,,15.0,3.0,5.0,12.0,11.0,24.0,5.0,7.0,belarus
5,2023-09-12,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,1,il Israel,,,32.0,28435.0,Syarhey Palitsevich,3-5-1-1,Ricardo de Burgos,Match Report,,12.0,4.0,2.0,7.0,5.0,11.0,11.0,14.0,belarus
6,2023-10-12,21:45,UEFA Euro Qualifying,Group stage,Thu,Home,D,0,0,ro Romania,,,32.0,,Syarhey Palitsevich,5-3-2,Espen Eskås,Match Report,,9.0,2.0,2.0,14.0,7.0,13.0,16.0,7.0,belarus
7,2023-10-15,18:00,UEFA Euro Qualifying,Group stage,Sun,Away,D,3,3,ch Switzerland,,,22.0,17000.0,Syarhey Palitsevich,4-3-3,João Pinheiro,Match Report,,7.0,3.0,5.0,14.0,10.0,4.0,8.0,1.0,belarus
8,2023-11-18,20:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,1,0,ad Andorra,,,71.0,,Maks Ebonh,5-3-2,Bulat Sariyev,Match Report,,11.0,7.0,1.0,16.0,14.0,22.0,10.0,10.0,belarus
9,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,1,0,xk Kosovo,,,37.0,5026.0,Syarhey Palitsevich,5-3-2,Georgi Kabakov,Match Report,,6.0,1.0,5.0,13.0,13.0,15.0,13.0,10.0,belarus
10,2024-03-21,20:00,Friendlies (M),Friendlies (M),Thu,Neutral,L,0,2,me Montenegro,,,,,Syarhey Palitsevich,5-4-1,Kadir Sağlam,Match Report,,,,0.0,,,,,,belarus
11,2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Away,D,0,0,mt Malta,,,,,Syarhey Palitsevich,3-5-2,Martin Dohál,Match Report,,,,2.0,,,,,,belarus
12,2024-06-11,18:00,Friendlies (M),Friendlies (M),Tue,Neutral,L,0,4,il Israel,,,,,Evgeni Yablonski,4-2-3-1,Tamás Bognár,Match Report,,,,3.0,,,,,,belarus
0,2023-03-25,20:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,1,1,il Israel,,,46.0,28935.0,Amir Rrahmani,4-3-3,William Collum,Match Report,,7.0,3.0,2.0,12.0,10.0,12.0,11.0,15.0,kosovo
1,2023-03-28,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,D,1,1,ad Andorra,,,77.0,12600.0,Amir Rrahmani,4-3-3,Sebastian Gishamer,Match Report,,15.0,5.0,2.0,10.0,18.0,43.0,6.0,11.0,kosovo
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,0,0,ro Romania,,,60.0,11000.0,Amir Rrahmani,4-2-3-1,Danny Makkelie,Match Report,,9.0,4.0,2.0,8.0,13.0,26.0,6.0,15.0,kosovo
3,2023-06-19,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,1,2,by Belarus,,,59.0,,Amir Rrahmani,4-2-3-1,Julian Weinberger,Match Report,,15.0,6.0,1.0,6.0,9.0,22.0,8.0,7.0,kosovo
4,2023-09-09,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,2,2,ch Switzerland,,,34.0,12700.0,Amir Rrahmani,4-4-2,Jakob Kehlet,Match Report,,12.0,5.0,4.0,9.0,8.0,34.0,9.0,11.0,kosovo
5,2023-09-12,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,2,ro Romania,,,28.0,29982.0,Amir Rrahmani,4-4-2,Willy Delajod,Match Report,,7.0,4.0,8.0,19.0,9.0,11.0,3.0,7.0,kosovo
6,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,3,0,ad Andorra,,,65.0,1207.0,Milot Rashica,3-5-1-1,Nick Walsh,Match Report,,14.0,7.0,2.0,11.0,24.0,22.0,11.0,12.0,kosovo
7,2023-11-12,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,1,0,il Israel,,,34.0,5245.0,Vedat Muriqi,3-5-1-1,Ivan Kružliak,Match Report,,13.0,7.0,3.0,18.0,11.0,18.0,9.0,16.0,kosovo
8,2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1,1,ch Switzerland,,,23.0,33000.0,Fidan Aliti,3-4-3,António Nobre,Match Report,,7.0,3.0,2.0,4.0,9.0,15.0,9.0,12.0,kosovo
9,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0,1,by Belarus,,,63.0,5026.0,Fidan Aliti,3-4-3,Georgi Kabakov,Match Report,,18.0,4.0,5.0,14.0,13.0,32.0,5.0,10.0,kosovo
10,2024-03-22,20:00,Friendlies (M),Friendlies (M),Fri,Away,W,1,0,am Armenia,,,,,Vedat Muriqi,4-2-3-1,Irakli Kvirikashvili,Match Report,,,,4.0,,,,,,kosovo
11,2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Away,L,0,2,hu Hungary,,,,57000.0,Amir Rrahmani,4-2-3-1,Ovidiu Hațegan,Match Report,,,,5.0,,,,,,kosovo
12,2024-06-05,19:00,Friendlies (M),Friendlies (M),Wed,Away,L,0,3,no Norway,,,,19634.0,Amir Rrahmani,4-1-4-1,Mikkel Redder,Match Report,,,,0.0,,,,,,kosovo
0,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,L,0,2,ro Romania,,,29.0,2927.0,Márcio Vieira,4-4-2,Dario Bel,Match Report,,3.0,1.0,3.0,11.0,10.0,7.0,9.0,6.0,andorra
1,2023-03-28,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,1,1,xk Kosovo,,,23.0,12600.0,Marc Vales,5-4-1,Sebastian Gishamer,Match Report,,5.0,2.0,1.0,18.0,9.0,1.0,19.0,7.0,andorra
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,1,2,ch Switzerland,,,15.0,2490.0,Moisés San Nicolás,5-4-1,Balázs Berke,Match Report,,4.0,2.0,0.0,8.0,11.0,2.0,10.0,4.0,andorra
3,2023-06-19,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,1,2,il Israel,,,20.0,13300.0,Márcio Vieira,5-4-1,Dragomir Draganov,Match Report,,6.0,3.0,3.0,16.0,6.0,5.0,8.0,6.0,andorra
4,2023-09-09,18:00,UEFA Euro Qualifying,Group stage,Sat,Home,D,0,0,by Belarus,,,27.0,1026.0,Marc Pujol,4-4-2,Eldorjan Hamiti,Match Report,,3.0,1.0,2.0,11.0,12.0,7.0,4.0,8.0,andorra
5,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,3,ch Switzerland,,,16.0,9000.0,Ildefons Lima,5-4-1,Elçin Məsiyev,Match Report,,0.0,0.0,2.0,7.0,4.0,3.0,6.0,3.0,andorra
6,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,0,3,xk Kosovo,,,35.0,1207.0,Marc Vales,5-4-1,Nick Walsh,Match Report,,5.0,3.0,4.0,24.0,11.0,11.0,9.0,4.0,andorra
7,2023-10-15,21:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,4,ro Romania,,,21.0,21723.0,Márcio Vieira,5-4-1,Kristo Tohver,Match Report,,3.0,0.0,7.0,12.0,7.0,4.0,7.0,6.0,andorra
8,2023-11-18,20:00,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,1,by Belarus,,,30.0,,Márcio Vieira,5-4-1,Bulat Sariyev,Match Report,,8.0,2.0,3.0,15.0,16.0,9.0,7.0,5.0,andorra
9,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0,2,il Israel,,,16.0,568.0,Márcio Vieira,5-4-1,Sascha Stegemann,Match Report,,7.0,2.0,4.0,7.0,2.0,7.0,10.0,5.0,andorra
10,2024-06-05,21:30,Friendlies (M),Friendlies (M),Wed,Away,L,0,5,es Spain,,,,14300.0,Marc Vales,5-4-1,Gustavo Correia,Match Report,,,,0.0,,,,,,andorra
11,2024-06-11,20:45,Friendlies (M),Friendlies (M),Tue,Neutral,L,0,2,nir Northern Ireland,,,,,Márcio Vieira,4-3-1-2,Jason Barcelo,Match Report,,,,3.0,,,,,,andorra
0,2023-03-23,19:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4.0,0.0,li Liechtenstein,,,82.0,45378.0,Cristiano Ronaldo,3-1-4-2,Espen Andreas Eskås,Match Report,,35.0,11.0,0.0,5.0,6.0,41.0,5.0,3.0,portugal
1,2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,6.0,0.0,lu Luxembourg,,,62.0,9231.0,Cristiano Ronaldo,3-4-3,Radu Petrescu,Match Report,,14.0,8.0,1.0,10.0,15.0,12.0,13.0,12.0,portugal
2,2023-06-17,19:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,ba Bosnia & Herz'na,,,62.0,55058.0,Cristiano Ronaldo,3-4-3,Davide Massa,Match Report,,10.0,5.0,1.0,5.0,10.0,21.0,5.0,10.0,portugal
3,2023-06-20,18:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,1.0,0.0,is Iceland,,,72.0,9517.0,Cristiano Ronaldo,5-3-2,Daniel Siebert,Match Report,,11.0,3.0,3.0,12.0,13.0,34.0,10.0,6.0,portugal
4,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,1.0,0.0,sk Slovakia,,,56.0,21473.0,Cristiano Ronaldo,4-3-3,Glenn Nyberg,Match Report,,12.0,7.0,1.0,12.0,10.0,14.0,5.0,10.0,portugal
5,2023-09-11,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,9.0,0.0,lu Luxembourg,,,66.0,18932.0,Bernardo Silva,4-2-3-1,John Brooks,Match Report,,22.0,10.0,0.0,10.0,15.0,21.0,4.0,6.0,portugal
6,2023-10-13,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,3.0,2.0,sk Slovakia,,,58.0,46601.0,Cristiano Ronaldo,4-1-3-2,Tasos Sidiropoulos,Match Report,,25.0,12.0,2.0,10.0,8.0,20.0,8.0,7.0,portugal
7,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,5.0,0.0,ba Bosnia & Herz'na,,,68.0,13047.0,Cristiano Ronaldo,4-4-1-1,Halil Umut Meler,Match Report,,9.0,6.0,0.0,9.0,6.0,14.0,8.0,7.0,portugal
8,2023-11-16,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,0.0,li Liechtenstein,,,84.0,5749.0,Cristiano Ronaldo,3-4-3,Mohammed Al Hakim,Match Report,,29.0,8.0,1.0,9.0,9.0,27.0,1.0,8.0,portugal
9,2023-11-19,19:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,is Iceland,,,74.0,45655.0,Cristiano Ronaldo,4-3-3,Anastasios Papapetrou,Match Report,,23.0,11.0,2.0,9.0,6.0,30.0,8.0,6.0,portugal
10,2024-03-21,19:45,Friendlies (M),Friendlies (M),Thu,Home,W,5.0,2.0,se Sweden,,,,27532.0,Pepe,4-3-3,Ricardo de Burgos,Match Report,,,,0.0,,,,,,portugal
11,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,0.0,2.0,si Slovenia,,,,16432.0,Cristiano Ronaldo,3-4-3,Irfan Peljto,Match Report,,,,2.0,,,,,,portugal
12,2024-06-04,19:45,Friendlies (M),Friendlies (M),Tue,Home,W,4.0,2.0,fi Finland,,,,19834.0,Rúben Dias,4-1-4-1,Christian-Petru Ciochirca,Match Report,,,,0.0,,,,,,portugal
13,2024-06-08,17:45,Friendlies (M),Friendlies (M),Sat,Home,L,1.0,2.0,hr Croatia,,,,,Bernardo Silva,4-1-4-1,Harm Osmers,Match Report,,,,1.0,,,,,,portugal
